Date,Sal_temp,Sal_max,Sal_min,Sal_dwp,Sal_mx_dwp,Sal_mi_dwp,Sal_pressure,Sal_humidity,Sal_wind,Sal_clouds,Sal_temp_1,Sal_temp_2,Sal_temp_3,Sal_max_1,Sal_max_2,Sal_max_3,Sal_min_1,Sal_min_2,Sal_min_3,Sal_dwp_1,Sal_dwp_2,Sal_dwp_3,Sal_mx_dwp_1,Sal_mx_dwp_2,Sal_mx_dwp_3,Sal_mi_dwp_1,Sal_mi_dwp_2,Sal_mi_dwp_3,Sal_pressure_1,Sal_pressure_2,Sal_pressure_3,Sal_humidity_1,Sal_humidity_2,Sal_humidity_3,Sal_wind_1,Sal_wind_2,Sal_wind_3,Sal_clouds_1,Sal_clouds_2,Sal_clouds_3
2017-07-30,22.083333333333332,22.083333333333332,22.083333333333332,18.816666666666666,18.816666666666666,18.816666666666666,1025.2083333333333,83.66666666666667,7.125,77.91666666666667,22.708333333333332,23.166666666666668,23.291666666666668,22.708333333333332,23.166666666666668,23.291666666666668,22.708333333333332,23.166666666666668,23.291666666666668,17.91666666666667,18.03333333333334,17.22500000000001,17.91666666666667,18.03333333333334,17.22500000000001,17.91666666666667,18.03333333333334,17.22500000000001,1023.2916666666666,1021.1666666666666,1019.2083333333334,76.04166666666667,74.33333333333333,69.66666666666667,6.541666666666667,5.75,5.75,57.666666666666664,49.5,51.666666666666664
2017-07-31,21.875,21.875,21.875,16.916666666666668,16.916666666666668,16.916666666666668,1021.5,75.20833333333333,6.0,67.33333333333333,22.083333333333332,22.708333333333332,23.166666666666668,22.083333333333332,22.708333333333332,23.166666666666668,22.083333333333332,22.708333333333332,23.166666666666668,18.816666666666666,17.91666666666667,18.03333333333334,18.816666666666666,17.91666666666667,18.03333333333334,18.816666666666666,17.91666666666667,18.03333333333334,1025.2083333333333,1023.2916666666666,1021.1666666666666,83.66666666666667,76.04166666666667,74.33333333333333,7.125,6.541666666666667,5.75,77.91666666666667,57.666666666666664,49.5
2017-08-01,22.583333333333332,22.583333333333332,22.583333333333332,18.291666666666668,18.291666666666668,18.291666666666668,1021.2916666666666,78.54166666666667,4.25,59.375,21.875,22.083333333333332,22.708333333333332,21.875,22.083333333333332,22.708333333333332,21.875,22.083333333333332,22.708333333333332,16.916666666666668,18.816666666666666,17.91666666666667,16.916666666666668,18.816666666666666,17.91666666666667,16.916666666666668,18.816666666666666,17.91666666666667,1021.5,1025.2083333333333,1023.2916666666666,75.20833333333333,83.66666666666667,76.04166666666667,6.0,7.125,6.541666666666667,67.33333333333333,77.91666666666667,57.666666666666664
2017-08-02,22.208333333333332,22.208333333333332,22.208333333333332,17.975000000000005,17.975000000000005,17.975000000000005,1020.9166666666666,78.83333333333333,2.5416666666666665,44.625,22.583333333333332,21.875,22.083333333333332,22.583333333333332,21.875,22.083333333333332,22.583333333333332,21.875,22.083333333333332,18.291666666666668,16.916666666666668,18.816666666666666,18.291666666666668,16.916666666666668,18.816666666666666,18.291666666666668,16.916666666666668,18.816666666666666,1021.2916666666666,1021.5,1025.2083333333333,78.54166666666667,75.20833333333333,83.66666666666667,4.25,6.0,7.125,59.375,67.33333333333333,77.91666666666667
2017-08-03,22.625,22.625,22.625,18.258333333333336,18.258333333333336,18.258333333333336,1019.2083333333334,78.16666666666667,2.75,30.833333333333332,22.208333333333332,22.583333333333332,21.875,22.208333333333332,22.583333333333332,21.875,22.208333333333332,22.583333333333332,21.875,17.975000000000005,18.291666666666668,16.916666666666668,17.975000000000005,18.291666666666668,16.916666666666668,17.975000000000005,18.291666666666668,16.916666666666668,1020.9166666666666,1021.2916666666666,1021.5,78.83333333333333,78.54166666666667,75.20833333333333,2.5416666666666665,4.25,6.0,44.625,59.375,67.33333333333333
2017-08-04,21.583333333333332,21.583333333333332,21.583333333333332,17.841666666666672,17.841666666666672,17.841666666666672,1016.7916666666666,81.29166666666667,1.9583333333333333,20.0,22.625,22.208333333333332,22.583333333333332,22.625,22.208333333333332,22.583333333333332,22.625,22.208333333333332,22.583333333333332,18.258333333333336,17.975000000000005,18.291666666666668,18.258333333333336,17.975000000000005,18.291666666666668,18.258333333333336,17.975000000000005,18.291666666666668,1019.2083333333334,1020.9166666666666,1021.2916666666666,78.16666666666667,78.83333333333333,78.54166666666667,2.75,2.5416666666666665,4.25,30.833333333333332,44.625,59.375
2017-08-05,22.416666666666668,22.416666666666668,22.416666666666668,18.625000000000007,18.625000000000007,18.625000000000007,1017.1666666666666,81.04166666666667,3.0416666666666665,37.708333333333336,21.583333333333332,22.625,22.208333333333332,21.583333333333332,22.625,22.208333333333332,21.583333333333332,22.625,22.208333333333332,17.841666666666672,18.258333333333336,17.975000000000005,17.841666666666672,18.258333333333336,17.975000000000005,17.841666666666672,18.258333333333336,17.975000000000005,1016.7916666666666,1019.2083333333334,1020.9166666666666,81.29166666666667,78.16666666666667,78.83333333333333,1.9583333333333333,2.75,2.5416666666666665,20.0,30.833333333333332,44.625
2017-08-06,23.541666666666668,23.541666666666668,23.541666666666668,18.058333333333337,18.058333333333337,18.058333333333337,1019.4166666666666,72.58333333333333,5.583333333333333,58.041666666666664,22.416666666666668,21.583333333333332,22.625,22.416666666666668,21.583333333333332,22.625,22.416666666666668,21.583333333333332,22.625,18.625000000000007,17.841666666666672,18.258333333333336,18.625000000000007,17.841666666666672,18.258333333333336,18.625000000000007,17.841666666666672,18.258333333333336,1017.1666666666666,1016.7916666666666,1019.2083333333334,81.04166666666667,81.29166666666667,78.16666666666667,3.0416666666666665,1.9583333333333333,2.75,37.708333333333336,20.0,30.833333333333332
2017-08-07,22.916666666666668,22.916666666666668,22.916666666666668,16.650000000000006,16.650000000000006,16.650000000000006,1019.75,68.66666666666667,5.166666666666667,53.125,23.541666666666668,22.416666666666668,21.583333333333332,23.541666666666668,22.416666666666668,21.583333333333332,23.541666666666668,22.416666666666668,21.583333333333332,18.058333333333337,18.625000000000007,17.841666666666672,18.058333333333337,18.625000000000007,17.841666666666672,18.058333333333337,18.625000000000007,17.841666666666672,1019.4166666666666,1017.1666666666666,1016.7916666666666,72.58333333333333,81.04166666666667,81.29166666666667,5.583333333333333,3.0416666666666665,1.9583333333333333,58.041666666666664,37.708333333333336,20.0
2017-08-08,22.916666666666668,22.916666666666668,22.916666666666668,16.091666666666672,16.091666666666672,16.091666666666672,1019.2083333333334,65.875,4.541666666666667,58.958333333333336,22.916666666666668,23.541666666666668,22.416666666666668,22.916666666666668,23.541666666666668,22.416666666666668,22.916666666666668,23.541666666666668,22.416666666666668,16.650000000000006,18.058333333333337,18.625000000000007,16.650000000000006,18.058333333333337,18.625000000000007,16.650000000000006,18.058333333333337,18.625000000000007,1019.75,1019.4166666666666,1017.1666666666666,68.66666666666667,72.58333333333333,81.04166666666667,5.166666666666667,5.583333333333333,3.0416666666666665,53.125,58.041666666666664,37.708333333333336
