Date,Kyo_temp,Kyo_max,Kyo_min,Kyo_dwp,Kyo_mx_dwp,Kyo_mi_dwp,Kyo_pressure,Kyo_humidity,Kyo_wind,Kyo_clouds,Man_temp,Man_max,Man_min,Man_dwp,Man_mx_dwp,Man_mi_dwp,Man_pressure,Man_humidity,Man_wind,Man_clouds,Kyo_temp_1,Kyo_temp_2,Kyo_temp_3,Kyo_max_1,Kyo_max_2,Kyo_max_3,Kyo_min_1,Kyo_min_2,Kyo_min_3,Kyo_dwp_1,Kyo_dwp_2,Kyo_dwp_3,Kyo_mx_dwp_1,Kyo_mx_dwp_2,Kyo_mx_dwp_3,Kyo_mi_dwp_1,Kyo_mi_dwp_2,Kyo_mi_dwp_3,Kyo_pressure_1,Kyo_pressure_2,Kyo_pressure_3,Kyo_humidity_1,Kyo_humidity_2,Kyo_humidity_3,Kyo_wind_1,Kyo_wind_2,Kyo_wind_3,Kyo_clouds_1,Kyo_clouds_2,Kyo_clouds_3,Man_temp_1,Man_temp_2,Man_temp_3,Man_max_1,Man_max_2,Man_max_3,Man_min_1,Man_min_2,Man_min_3,Man_dwp_1,Man_dwp_2,Man_dwp_3,Man_mx_dwp_1,Man_mx_dwp_2,Man_mx_dwp_3,Man_mi_dwp_1,Man_mi_dwp_2,Man_mi_dwp_3,Man_pressure_1,Man_pressure_2,Man_pressure_3,Man_humidity_1,Man_humidity_2,Man_humidity_3,Man_wind_1,Man_wind_2,Man_wind_3,Man_clouds_1,Man_clouds_2,Man_clouds_3
2018-01-03,1.8333333333333333,2.25,1.4166666666666667,-3.4583333333333326,-3.041666666666666,-3.875,1019.7083333333334,73.54166666666667,2.625,34.541666666666664,21.291666666666668,21.791666666666668,20.416666666666668,18.050000000000004,18.550000000000004,17.175000000000004,1013.6666666666666,83.79166666666667,6.25,70.625,5.958333333333333,4.64,4.708333333333333,6.208333333333333,4.88,4.916666666666667,5.666666666666667,4.28,4.458333333333333,-2.5,-3.424,-1.0499999999999998,-2.25,-3.184,-0.8416666666666667,-2.7916666666666665,-3.7840000000000003,-1.2999999999999998,1017.5833333333334,1018.12,1014.8333333333334,57.708333333333336,59.68,71.20833333333333,3.0833333333333335,2.44,1.7916666666666667,50.375,33.16,48.75,23.5,23.88,23.875,24.458333333333332,25.56,24.708333333333332,22.625,22.2,23.125,20.408333333333342,20.94400000000001,19.93333333333334,21.366666666666674,22.62400000000001,20.766666666666676,19.533333333333342,19.26400000000001,19.18333333333334,1005.5833333333334,1005.84,1007.6666666666666,84.54166666666667,85.32,80.29166666666667,6.291666666666667,5.6,5.958333333333333,54.791666666666664,40.6,56.041666666666664
2018-01-04,2.0416666666666665,2.3333333333333335,1.625,-3.9000000000000004,-3.608333333333334,-4.316666666666666,1018.0,70.29166666666667,1.4583333333333333,64.875,20.541666666666668,21.875,19.125,15.608333333333336,16.941666666666666,14.19166666666667,1016.1666666666666,75.33333333333333,3.125,27.291666666666668,1.8333333333333333,5.958333333333333,4.64,2.25,6.208333333333333,4.88,1.4166666666666667,5.666666666666667,4.28,-3.4583333333333326,-2.5,-3.424,-3.041666666666666,-2.25,-3.184,-3.875,-2.7916666666666665,-3.7840000000000003,1019.7083333333334,1017.5833333333334,1018.12,73.54166666666667,57.708333333333336,59.68,2.625,3.0833333333333335,2.44,34.541666666666664,50.375,33.16,21.291666666666668,23.5,23.88,21.791666666666668,24.458333333333332,25.56,20.416666666666668,22.625,22.2,18.050000000000004,20.408333333333342,20.94400000000001,18.550000000000004,21.366666666666674,22.62400000000001,17.175000000000004,19.533333333333342,19.26400000000001,1013.6666666666666,1005.5833333333334,1005.84,83.79166666666667,84.54166666666667,85.32,6.25,6.291666666666667,5.6,70.625,54.791666666666664,40.6
2018-01-05,1.7083333333333333,1.9166666666666667,1.2916666666666667,-0.27499999999999997,-0.06666666666666664,-0.6916666666666668,1012.7916666666666,90.08333333333333,0.7083333333333334,70.375,24.5,26.125,22.625,19.050000000000008,20.675000000000008,17.175000000000008,1015.7916666666666,72.75,4.916666666666667,4.166666666666667,2.0416666666666665,1.8333333333333333,5.958333333333333,2.3333333333333335,2.25,6.208333333333333,1.625,1.4166666666666667,5.666666666666667,-3.9000000000000004,-3.4583333333333326,-2.5,-3.608333333333334,-3.041666666666666,-2.25,-4.316666666666666,-3.875,-2.7916666666666665,1018.0,1019.7083333333334,1017.5833333333334,70.29166666666667,73.54166666666667,57.708333333333336,1.4583333333333333,2.625,3.0833333333333335,64.875,34.541666666666664,50.375,20.541666666666668,21.291666666666668,23.5,21.875,21.791666666666668,24.458333333333332,19.125,20.416666666666668,22.625,15.608333333333336,18.050000000000004,20.408333333333342,16.941666666666666,18.550000000000004,21.366666666666674,14.19166666666667,17.175000000000004,19.533333333333342,1016.1666666666666,1013.6666666666666,1005.5833333333334,75.33333333333333,83.79166666666667,84.54166666666667,3.125,6.25,6.291666666666667,27.291666666666668,70.625,54.791666666666664
2018-01-06,3.375,3.875,2.875,-1.3999999999999997,-0.9000000000000002,-1.8999999999999997,1015.5,76.125,2.4166666666666665,45.0,28.083333333333332,29.875,25.875,22.325000000000006,24.116666666666674,20.116666666666674,1012.1666666666666,71.20833333333333,5.375,0.0,1.7083333333333333,2.0416666666666665,1.8333333333333333,1.9166666666666667,2.3333333333333335,2.25,1.2916666666666667,1.625,1.4166666666666667,-0.27499999999999997,-3.9000000000000004,-3.4583333333333326,-0.06666666666666664,-3.608333333333334,-3.041666666666666,-0.6916666666666668,-4.316666666666666,-3.875,1012.7916666666666,1018.0,1019.7083333333334,90.08333333333333,70.29166666666667,73.54166666666667,0.7083333333333334,1.4583333333333333,2.625,70.375,64.875,34.541666666666664,24.5,20.541666666666668,21.291666666666668,26.125,21.875,21.791666666666668,22.625,19.125,20.416666666666668,19.050000000000008,15.608333333333336,18.050000000000004,20.675000000000008,16.941666666666666,18.550000000000004,17.175000000000008,14.19166666666667,17.175000000000004,1015.7916666666666,1016.1666666666666,1013.6666666666666,72.75,75.33333333333333,83.79166666666667,4.916666666666667,3.125,6.25,4.166666666666667,27.291666666666668,70.625
2018-01-07,3.9583333333333335,4.25,3.625,-2.9833333333333343,-2.691666666666667,-3.3166666666666678,1018.9166666666666,65.29166666666667,1.4166666666666667,62.958333333333336,30.25,31.791666666666668,28.208333333333332,23.775000000000006,25.316666666666674,21.733333333333345,1012.0416666666666,67.625,5.875,32.25,3.375,1.7083333333333333,2.0416666666666665,3.875,1.9166666666666667,2.3333333333333335,2.875,1.2916666666666667,1.625,-1.3999999999999997,-0.27499999999999997,-3.9000000000000004,-0.9000000000000002,-0.06666666666666664,-3.608333333333334,-1.8999999999999997,-0.6916666666666668,-4.316666666666666,1015.5,1012.7916666666666,1018.0,76.125,90.08333333333333,70.29166666666667,2.4166666666666665,0.7083333333333334,1.4583333333333333,45.0,70.375,64.875,28.083333333333332,24.5,20.541666666666668,29.875,26.125,21.875,25.875,22.625,19.125,22.325000000000006,19.050000000000008,15.608333333333336,24.116666666666674,20.675000000000008,16.941666666666666,20.116666666666674,17.175000000000008,14.19166666666667,1012.1666666666666,1015.7916666666666,1016.1666666666666,71.20833333333333,72.75,75.33333333333333,5.375,4.916666666666667,3.125,0.0,4.166666666666667,27.291666666666668
2018-01-08,9.291666666666666,9.583333333333334,8.958333333333334,5.908333333333334,6.2,5.575,1003.2916666666666,83.08333333333333,3.9583333333333335,81.41666666666667,28.041666666666668,29.208333333333332,26.625,23.191666666666663,24.35833333333333,21.775000000000002,1012.625,75.75,4.583333333333333,49.541666666666664,3.9583333333333335,3.375,1.7083333333333333,4.25,3.875,1.9166666666666667,3.625,2.875,1.2916666666666667,-2.9833333333333343,-1.3999999999999997,-0.27499999999999997,-2.691666666666667,-0.9000000000000002,-0.06666666666666664,-3.3166666666666678,-1.8999999999999997,-0.6916666666666668,1018.9166666666666,1015.5,1012.7916666666666,65.29166666666667,76.125,90.08333333333333,1.4166666666666667,2.4166666666666665,0.7083333333333334,62.958333333333336,45.0,70.375,30.25,28.083333333333332,24.5,31.791666666666668,29.875,26.125,28.208333333333332,25.875,22.625,23.775000000000006,22.325000000000006,19.050000000000008,25.316666666666674,24.116666666666674,20.675000000000008,21.733333333333345,20.116666666666674,17.175000000000008,1012.0416666666666,1012.1666666666666,1015.7916666666666,67.625,71.20833333333333,72.75,5.875,5.375,4.916666666666667,32.25,0.0,4.166666666666667
2018-01-09,4.708333333333333,4.958333333333333,4.458333333333333,-3.691666666666667,-3.4416666666666664,-3.9416666666666678,1006.6666666666666,58.0,4.208333333333333,30.416666666666668,23.541666666666668,24.083333333333332,22.958333333333332,20.550000000000008,21.091666666666672,19.966666666666672,1014.1666666666666,85.04166666666667,6.833333333333333,63.125,9.291666666666666,3.9583333333333335,3.375,9.583333333333334,4.25,3.875,8.958333333333334,3.625,2.875,5.908333333333334,-2.9833333333333343,-1.3999999999999997,6.2,-2.691666666666667,-0.9000000000000002,5.575,-3.3166666666666678,-1.8999999999999997,1003.2916666666666,1018.9166666666666,1015.5,83.08333333333333,65.29166666666667,76.125,3.9583333333333335,1.4166666666666667,2.4166666666666665,81.41666666666667,62.958333333333336,45.0,28.041666666666668,30.25,28.083333333333332,29.208333333333332,31.791666666666668,29.875,26.625,28.208333333333332,25.875,23.191666666666663,23.775000000000006,22.325000000000006,24.35833333333333,25.316666666666674,24.116666666666674,21.775000000000002,21.733333333333345,20.116666666666674,1012.625,1012.0416666666666,1012.1666666666666,75.75,67.625,71.20833333333333,4.583333333333333,5.875,5.375,49.541666666666664,32.25,0.0
2018-01-10,2.4166666666666665,2.875,1.75,-2.4499999999999997,-1.9916666666666665,-3.1166666666666676,1010.875,75.66666666666667,2.625,44.958333333333336,21.25,21.791666666666668,20.833333333333332,16.291666666666668,16.833333333333332,15.875,1018.4583333333334,75.20833333333333,3.7083333333333335,67.5,4.708333333333333,9.291666666666666,3.9583333333333335,4.958333333333333,9.583333333333334,4.25,4.458333333333333,8.958333333333334,3.625,-3.691666666666667,5.908333333333334,-2.9833333333333343,-3.4416666666666664,6.2,-2.691666666666667,-3.9416666666666678,5.575,-3.3166666666666678,1006.6666666666666,1003.2916666666666,1018.9166666666666,58.0,83.08333333333333,65.29166666666667,4.208333333333333,3.9583333333333335,1.4166666666666667,30.416666666666668,81.41666666666667,62.958333333333336,23.541666666666668,28.041666666666668,30.25,24.083333333333332,29.208333333333332,31.791666666666668,22.958333333333332,26.625,28.208333333333332,20.550000000000008,23.191666666666663,23.775000000000006,21.091666666666672,24.35833333333333,25.316666666666674,19.966666666666672,21.775000000000002,21.733333333333345,1014.1666666666666,1012.625,1012.0416666666666,85.04166666666667,75.75,67.625,6.833333333333333,4.583333333333333,5.875,63.125,49.541666666666664,32.25
2018-01-11,0.3333333333333333,0.4583333333333333,0.125,-9.758333333333335,-9.633333333333335,-9.966666666666669,1017.6666666666666,49.541666666666664,3.625,22.916666666666668,23.416666666666668,24.25,22.708333333333332,19.600000000000005,20.43333333333334,18.891666666666673,1014.9166666666666,80.91666666666667,4.125,65.20833333333333,2.4166666666666665,4.708333333333333,9.291666666666666,2.875,4.958333333333333,9.583333333333334,1.75,4.458333333333333,8.958333333333334,-2.4499999999999997,-3.691666666666667,5.908333333333334,-1.9916666666666665,-3.4416666666666664,6.2,-3.1166666666666676,-3.9416666666666678,5.575,1010.875,1006.6666666666666,1003.2916666666666,75.66666666666667,58.0,83.08333333333333,2.625,4.208333333333333,3.9583333333333335,44.958333333333336,30.416666666666668,81.41666666666667,21.25,23.541666666666668,28.041666666666668,21.791666666666668,24.083333333333332,29.208333333333332,20.833333333333332,22.958333333333332,26.625,16.291666666666668,20.550000000000008,23.191666666666663,16.833333333333332,21.091666666666672,24.35833333333333,15.875,19.966666666666672,21.775000000000002,1018.4583333333334,1014.1666666666666,1012.625,75.20833333333333,85.04166666666667,75.75,3.7083333333333335,6.833333333333333,4.583333333333333,67.5,63.125,49.541666666666664
2018-01-12,-0.75,-0.375,-1.125,-9.858333333333336,-9.483333333333336,-10.233333333333336,1021.2916666666666,54.458333333333336,2.7916666666666665,15.833333333333334,27.041666666666668,28.25,25.541666666666668,24.141666666666676,25.35000000000001,22.64166666666667,1004.9583333333334,85.5,6.166666666666667,53.541666666666664,0.3333333333333333,2.4166666666666665,4.708333333333333,0.4583333333333333,2.875,4.958333333333333,0.125,1.75,4.458333333333333,-9.758333333333335,-2.4499999999999997,-3.691666666666667,-9.633333333333335,-1.9916666666666665,-3.4416666666666664,-9.966666666666669,-3.1166666666666676,-3.9416666666666678,1017.6666666666666,1010.875,1006.6666666666666,49.541666666666664,75.66666666666667,58.0,3.625,2.625,4.208333333333333,22.916666666666668,44.958333333333336,30.416666666666668,23.416666666666668,21.25,23.541666666666668,24.25,21.791666666666668,24.083333333333332,22.708333333333332,20.833333333333332,22.958333333333332,19.600000000000005,16.291666666666668,20.550000000000008,20.43333333333334,16.833333333333332,21.091666666666672,18.891666666666673,15.875,19.966666666666672,1014.9166666666666,1018.4583333333334,1014.1666666666666,80.91666666666667,75.20833333333333,85.04166666666667,4.125,3.7083333333333335,6.833333333333333,65.20833333333333,67.5,63.125
2018-01-13,1.0833333333333333,1.4583333333333333,0.7083333333333334,-6.366666666666667,-5.991666666666667,-6.741666666666668,1024.5416666666667,62.75,2.0416666666666665,33.083333333333336,24.041666666666668,25.208333333333332,22.916666666666668,17.266666666666673,18.43333333333334,16.14166666666667,1001.9583333333334,66.125,6.958333333333333,43.541666666666664,-0.75,0.3333333333333333,2.4166666666666665,-0.375,0.4583333333333333,2.875,-1.125,0.125,1.75,-9.858333333333336,-9.758333333333335,-2.4499999999999997,-9.483333333333336,-9.633333333333335,-1.9916666666666665,-10.233333333333336,-9.966666666666669,-3.1166666666666676,1021.2916666666666,1017.6666666666666,1010.875,54.458333333333336,49.541666666666664,75.66666666666667,2.7916666666666665,3.625,2.625,15.833333333333334,22.916666666666668,44.958333333333336,27.041666666666668,23.416666666666668,21.25,28.25,24.25,21.791666666666668,25.541666666666668,22.708333333333332,20.833333333333332,24.141666666666676,19.600000000000005,16.291666666666668,25.35000000000001,20.43333333333334,16.833333333333332,22.64166666666667,18.891666666666673,15.875,1004.9583333333334,1014.9166666666666,1018.4583333333334,85.5,80.91666666666667,75.20833333333333,6.166666666666667,4.125,3.7083333333333335,53.541666666666664,65.20833333333333,67.5
